Tópico,Palavras,Pesos
76,"pensandodireita, ofensa, feliciano, fezes, assista, pingos, carta, jogam, militantes, is","[0.2313, 0.1637, 0.1488, 0.1324, 0.1273, 0.1179, 0.1176, 0.1079, 0.0964, 0.0958]"
77,"pode, lula, equilibrio, virada, responde, grande, direita, foro, perder, existe","[0.0289, 0.0265, 0.0256, 0.0234, 0.0223, 0.0221, 0.0212, 0.0209, 0.0186, 0.0181]"
78,"misericordia, deus, infinita, sangra, brasil, turbulento, davis, paz, destruirem, brasilacimadetudodeusacimadetodos","[0.067, 0.0328, 0.0318, 0.0312, 0.0292, 0.0271, 0.0265, 0.026, 0.0256, 0.0252]"
79,"be, youtu, lula, pobre, diz, defende, ditaduras, bater, pt, papel","[0.1367, 0.1367, 0.0623, 0.0513, 0.045, 0.043, 0.0324, 0.0309, 0.0298, 0.0297]"
80,"pollo, vomitar, el, hugo, narcotrafico, justica, unidos, carvajal, unha, conluiado","[0.0807, 0.0803, 0.0771, 0.0706, 0.0584, 0.0577, 0.051, 0.0461, 0.0461, 0.0461]"
81,"capoeira, cordel, cultura, arte, zumba, 4barruada, leozin, lonas, ceptreze, 6glauber","[0.1368, 0.091, 0.0855, 0.0684, 0.0518, 0.0518, 0.0518, 0.0518, 0.0518, 0.0518]"
82,"reducao, rurais, embarque, suinos, confinamentos, otimizar, trato, combustiveis, liberar, cancelar","[0.0217, 0.0195, 0.0159, 0.0159, 0.0159, 0.0158, 0.0149, 0.0139, 0.0134, 0.0131]"
83,"aviao, morre, estados, libanes, sirio, encontrada, 69, ultra, medico, turbo","[0.0307, 0.0252, 0.0247, 0.0223, 0.0219, 0.021, 0.021, 0.0208, 0.0206, 0.0204]"
84,"pensandodireita, desespero, gayer, bateu, gustavo, assista, ancora, cartada, ataca, www","[0.3765, 0.2984, 0.2719, 0.2604, 0.2345, 0.2073, 0.1881, 0.1622, 0.1421, 0.1397]"
85,"censurar, disse, tse, aprendem, exige, nenhuma, candidatura, demsp, esforco, diz","[0.0316, 0.0238, 0.0227, 0.018, 0.0166, 0.016, 0.0156, 0.0153, 0.0141, 0.0135]"
86,"estados, 69, df, 60, 71, 61, 67, 72, 80, 36","[0.0729, 0.0618, 0.055, 0.053, 0.0512, 0.0485, 0.0416, 0.0381, 0.0333, 0.0325]"
